PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
Kitchener-Waterloo,"4, 7",7,1,0,1,0,0,0,0,0,10
BAILEY KIRWIN,Toronto Beaches,–,14,1,0,1,10,0,0,0,0
MICHAEL WILSON,St. Catharines Athletics,D,16,1,0,1,14,0,0,0,0
TRENT ROBERTSON,Brampton Excelsiors,D,17,1,0,1,83,0,0,0,0
REID LOWE,St. Catharines Athletics,D,20,1,0,1,4,1,0,0,0
MATT PERREIRA,Brampton Excelsiors,F,1,0,1,1,0,0,0,0,0
CARTER TAITE,Peterborough Lakers,–,1,0,1,1,0,0,0,0,0
NOBLE STONEFISH,Six Nations Arrows,D,1,0,1,1,2,0,0,0,0
NOLAN BYRNE,Peterborough Lakers,–,1,0,1,1,0,0,1,0,0
LIAM BUCKNELL,Toronto Beaches,–,1,0,1,1,2,0,1,0,0
JAMESON STEELE,Oakville Buzz,F,1,0,1,1,0,0,0,0,0
CHUCK RAWSON,Burlington Chiefs,–,1,0,1,1,0,0,0,0,0
KAYMEN DIABO,Orangeville Northmen,F,1,0,1,1,0,0,0,0,0
DEELAND MARTIN,Six Nations Arrows,F,1,0,1,1,0,0,0,0,1
CURTIS WARD,Brampton Excelsiors,–,1,0,1,1,0,0,0,0,0
MASON BLACKTOPP,Toronto Beaches,–,2,0,1,1,0,0,0,0,0
ZACH SHEPPARD,Whitby Warriors,D,2,0,1,1,2,0,0,0,0
CODY INNES,Burlington Chiefs,–,2,0,1,1,0,0,0,0,0
SAM ALBERT,Peterborough Lakers,–,2,0,1,1,0,0,1,0,0
CHRIS WONG,St. Catharines Athletics,F,3,0,1,1,0,0,0,0,0
JACOB KELLER AP,Mimico Mountaineers,T,3,0,1,1,0,0,0,0,1
LANDON SINFIELD,Peterborough Lakers,–,3,0,1,1,0,0,0,0,0
BRYDEN PITT AP,Mimico Mountaineers,T,5,0,1,1,0,0,0,0,0
KEITH GREEN,Six Nations Arrows,T,6,0,1,1,10,0,0,0,0
BEN MCISAAC ,Mimico Mountaineers,T,6,0,1,1,0,0,0,0,0
GRAYDON STOKES,Orangeville Northmen,D,6,0,1,1,8,0,0,0,0
LOGAN FLETCHER,St. Catharines Athletics,T,7,0,1,1,2,0,0,0,0
MATT SCHELL,Toronto Beaches,–,7,0,1,1,8,0,1,0,0
HAYDEN HILTZ,Burlington Chiefs,–,7,0,1,1,0,0,0,0,0
CALLUM MCLEOD,Whitby Warriors,D,8,0,1,1,2,0,1,0,0
BRODY THOMAS,Six Nations Arrows,T,8,0,1,1,2,0,0,0,0
JAMES GOWLAND,Six Nations Arrows,D,8,0,1,1,10,0,1,0,0
CARTER SCHOTT,Whitby Warriors,D,12,0,1,1,40,0,0,0,0
CADEN HEWITT,Toronto Beaches,–,18,0,1,1,12,0,0,0,0
OWEN CIAVOLEILLO,Brampton Excelsiors,D,18,0,1,1,6,0,0,0,0
RILEY DELILL,Brampton Excelsiors,D,20,0,1,1,53,0,0,0,0
DANNY NEILSON,Peterborough Lakers,D,1,0,0,0,0,0,0,0,0
