PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
Orangeville Northmen,71,D,5,0,0,0,0,0,0,0,4,0,
Kitchener-Waterloo,"4, 7",–,7,1,0,1,0,0,0,0,10,0,
NEAL ADAMSON,Brampton Excelsiors,11,D,13,1,0,1,0,0,0,0,36,0
BAILEY KIRWIN,Toronto Beaches,"11, 13, 9",–,14,1,0,1,0,0,0,0,10,0
MICHAEL WILSON,St. Catharines Athletics,16,D,16,1,0,1,0,0,0,0,14,0
REID LOWE,St. Catharines Athletics,19,D,19,1,0,1,1,0,0,0,4,0
PEYTIN WALLACE,Whitby Warriors,14,D,18,0,12,12,0,0,0,2,32,0
OWEN DALE,Kitchener-Waterloo,16,–,18,0,6,6,0,1,0,1,40,0
REED ALLEN,Burlington Chiefs,2,–,3,0,5,5,0,0,0,0,0,0
JADEN CIAPPARA,Orangeville Northmen,4,T,12,0,5,5,0,0,0,0,2,0
PHOENIX PULLEN,Brampton Excelsiors,44,T,18,0,5,5,0,2,0,1,37,0
GORDIE POWER,Burlington Chiefs,"3, 4",–,2,0,4,4,0,2,0,0,2,0
PEYTON DRONE,Peterborough Lakers,"6, 9",F,2,0,4,4,0,1,0,1,0,0
AVERY STEINBACH-PARKER,Six Nations Arrows,77,F,7,0,4,4,0,3,0,0,0,0
HAYDEN THOMSON,Oakville Buzz,"15, 17, 2, 22, 8",D,14,0,4,4,0,0,0,1,8,0
HADOWAS SMITH,Six Nations Arrows,21,T,14,0,4,4,0,0,0,1,17,0
ANDREW VRADENBURG,Burlington Chiefs,"15, 21, 22, 6",T,19,0,4,4,0,0,0,0,15,0
KEVIN HILL,Six Nations Arrows,18,F,3,0,3,3,0,1,0,0,2,0
KYLE MCMILLAN,Burlington Chiefs,"22, 9",–,4,0,3,3,0,0,0,0,0,0
GAVIN SNOW,Kitchener-Waterloo,45,F,5,0,3,3,0,0,0,0,2,0
RYAN ESSENSSA,Mimico Mountaineers,25,F,8,0,3,3,0,0,0,1,7,0
RYAN PATTERSON,St. Catharines Athletics,11,D,8,0,3,3,0,0,0,0,8,0
WYATT WIGGINS,Peterborough Lakers,27,T,10,0,3,3,0,0,0,0,4,0
ATKIN DWYER AP,Mimico Mountaineers,18,D,12,0,3,3,0,2,0,0,4,0
JAYDEN SMITH,Six Nations Arrows,55,D,12,0,3,3,0,0,0,0,38,0
SEVEN GILLINGHAM,Kitchener-Waterloo,"29, 77",–,14,0,3,3,0,0,0,0,26,0
MICHAEL WHITE,Whitby Warriors,12,D,17,0,3,3,0,1,0,1,14,0
CURTIS MARTIN,Peterborough Lakers,25,–,1,0,2,2,0,0,0,0,0,0
COOPER DAY-ALLISON,Burlington Chiefs,2,–,1,0,2,2,0,0,0,1,0,0
JARED DOWNEY,Orangeville Northmen,27,F,1,0,2,2,0,0,0,0,0,0
ZACH GIGNAC,Oakville Buzz,8,F,1,0,2,2,0,0,0,0,0,0
JAYDEN BUSHEY,Peterborough Lakers,7,F,1,0,2,2,0,2,0,0,0,0
ZACH MCDONALD,Burlington Chiefs,24,–,3,0,2,2,0,0,0,0,4,0
ISAAC SQUIRE-HILL,Six Nations Arrows,49,D,5,0,2,2,0,0,0,0,18,0
BRETT VINCE,Kitchener-Waterloo,20,–,7,0,2,2,0,0,0,0,0,0
AIDEN MACDONELL,Mimico Mountaineers,8,D,13,0,2,2,0,1,0,0,31,0
KENNY SPROAT,Burlington Chiefs,"12, 15, 21",D,14,0,2,2,0,0,0,0,8,0
BO DOXTATOR,Six Nations Arrows,11,D,15,0,2,2,0,0,0,0,16,0
